test_acc,test_loss,train_acc,train_loss,gap,in_S_BE,out_S_BE,in_S_AE,out_S_AE,in_C_BE,out_C_BE,in_C_AE,out_C_BE,in_ER_BE,out_ER_BE,in_ER_AE,out_ER_AE,model_id,in_weight_BE,out_weight_BE,in_weight_AE,out_weight_AE
0.8632,0.42042686042785643,0.9080400000000001,0.26863350654602053,-0.0448400000000001,0.7227774461110433,0.5740687847137451,0.3333333333333333,0.125,1.8920235633850098,3.835653781890869,1.0,1.0,1.0611625909805298,2.010528087615967,-0.0,-0.0,5.0,3.0,8.0,3.0,8.0
0.8632,0.42042686042785643,0.9080400000000001,0.26863350654602053,-0.0448400000000001,0.6679422855377197,0.6527537703514099,0.125,0.125,3.1339848041534424,2.7386209964752197,1.0,1.0,2.031447410583496,2.0341062545776367,-0.0,-0.0,5.0,8.0,8.0,8.0,8.0
0.8632,0.42042686042785643,0.9080400000000001,0.26863350654602053,-0.0448400000000001,0.6053187251091003,0.6498302221298218,0.2027854025363922,0.125,3.1846163272857666,2.7245590686798096,1.606985330581665,1.0,2.0137314796447754,2.02964448928833,0.6657918095588684,-0.0,5.0,8.0,8.0,8.0,8.0
0.8632,0.42042686042785643,0.9080400000000001,0.26863350654602053,-0.0448400000000001,0.5171257257461548,0.5654152631759644,0.24984322488307953,0.2642196714878082,3.5517420768737793,3.7640228271484375,2.732701063156128,1.8874529600143433,1.9856150150299072,1.999077558517456,1.0214462280273438,1.0563011169433594,5.0,8.0,8.0,8.0,8.0
0.8632,0.42042686042785643,0.9080400000000001,0.26863350654602053,-0.0448400000000001,0.6289989352226257,0.6599382162094116,0.125,0.125,3.0491087436676025,2.618112802505493,1.0,1.0,2.017446994781494,2.039281129837036,-0.0,-0.0,5.0,8.0,8.0,8.0,8.0
0.8632,0.42042686042785643,0.9080400000000001,0.26863350654602053,-0.0448400000000001,0.7078044414520264,0.7091279625892639,0.23800328373908997,0.0,2.4639134407043457,2.339538335800171,1.106162428855896,0.0,2.0382468700408936,2.042595386505127,0.6918762922286987,0.0,5.0,8.0,8.0,8.0,8.0
0.8632,0.42042686042785643,0.9080400000000001,0.26863350654602053,-0.0448400000000001,0.627578616142273,0.696778416633606,0.125,0.0,2.770781993865967,2.659346342086792,1.0,0.0,2.0241260528564453,2.04164981842041,-0.0,0.0,5.0,8.0,8.0,8.0,8.0
0.8632,0.42042686042785643,0.9080400000000001,0.26863350654602053,-0.0448400000000001,0.6354566216468811,0.6825593709945679,0.125,0.2458479404449463,2.6105997562408447,2.4205143451690674,1.0,1.0343576669692993,2.031559944152832,2.029364585876465,-0.0,0.6930045485496521,5.0,8.0,8.0,8.0,8.0
0.8632,0.42042686042785643,0.9080400000000001,0.26863350654602053,-0.0448400000000001,0.6600298881530762,0.7522369027137756,0.22822894155979156,0.0,2.412369728088379,2.076050281524658,1.2109007835388184,0.0,2.0280680656433105,2.0532867908477783,0.6885905265808105,0.0,5.0,8.0,8.0,8.0,8.0
0.8632,0.42042686042785643,0.9080400000000001,0.26863350654602053,-0.0448400000000001,0.6150240898132324,0.7153582572937012,0.125,0.0,2.946223258972168,2.1702988147735596,1.0,0.0,2.026545524597168,2.0473549365997314,-0.0,0.0,5.0,8.0,8.0,8.0,8.0
